length	num_GC	number_of_fragments	GC_content	number_of_positions	GC_bias	smoothed_GC_bias
152	63	522	0.4144736842105263	116185036	1.6166564011420947	1.560626232587008
152	64	465	0.42105263157894735	112689070	1.4848021174179888	1.6040193571897419
152	65	448	0.4276315789473684	109319533	1.4746116691147242	1.6377014124245877
152	66	434	0.4342105263157895	106110461	1.4717327298151408	1.6756829926620547
152	67	477	0.4407894736842105	102966834	1.6669341339118442	1.69786271633118
152	68	451	0.4473684210526316	99996599	1.622888685957858	1.7358586428423097
152	69	468	0.45394736842105265	97242001	1.7317667071994605	1.7455046917347077
152	70	428	0.4605263157894737	94800049	1.624548297171109	1.7729152437554623
152	71	403	0.46710526315789475	92671338	1.564793497565365	1.7848252668769942
152	72	434	0.47368421052631576	90930483	1.7174244904150904	1.7882632735400446
152	73	422	0.48026315789473684	89531943	1.6960234842653015	1.7912249878036668
152	74	416	0.4868421052631579	88461826	1.6921343864766822	1.8031264664682098
152	75	435	0.4934210526315789	87532732	1.7882004239504061	1.8031264664682098
152	76	407	0.5	86439337	1.6942613440329721	1.8162881822647015
152	77	368	0.506578947368421	84745365	1.5625333093654652	1.8400458264437864
152	78	375	0.5131578947368421	82120501	1.643149570216137	1.8667331121147546
152	79	372	0.5197368421052632	78205759	1.7115974259221904	1.9048352586552006
152	80	346	0.5263157894736842	73018621	1.7050608870389563	1.9265550276968566
152	81	323	0.5328947368421053	66835569	1.7389708123221668	1.9580783563377955
152	82	313	0.5394736842105263	60185100	1.8713403033525238	1.9983957618729618
152	83	269	0.5460526315789473	53474724	1.8100940815117839	2.017936031753127
152	84	286	0.5526315789473685	47049499	2.1873004884657314	2.072271713771791
152	85	205	0.5592105263157895	41243363	1.7885340413478366	2.113478722143711
152	86	191	0.5657894736842105	36109068	1.9033318198815519	2.1765205593395875
152	87	192	0.5723684210526315	31686442	2.1803447718469284	2.237274021219665
152	88	151	0.5789473684210527	27912284	1.9466101882632667	2.2831401621224474
152	89	154	0.5855263157894737	24700920	2.243391199173571	2.330276190907198
152	90	145	0.5921052631578947	21966808	2.3751906129152864	2.3560940633458674
152	91	125	0.5986842105263158	19636293	2.2905930008290234	2.422945425196653
152	92	119	0.6052631578947368	17616381	2.4306794371240383	2.458683391549073
152	93	114	0.6118421052631579	15809682	2.594652115135617	2.5160289048698163
152	94	88	0.618421052631579	14204087	2.229291029888206	2.553017357479956
152	95	73	0.625	12754589	2.059462135541045	2.5607170049405017
152	96	69	0.631578947368421	11427944	2.172593156742055	2.5773384106168384
152	97	74	0.6381578947368421	10190884	2.612866866343739	2.5813469918889647
152	98	60	0.6447368421052632	9052810	2.384873044706938	2.586575325829903
152	99	42	0.6513157894736842	8017867	1.884898038779814	2.564665808554844
152	100	35	0.6578947368421053	7060471	1.7837409836040439	2.5541704692664062
152	101	41	0.6644736842105263	6184548	2.3854664465427655	2.500099960069268
152	102	41	0.6710526315789473	5396824	2.733650706606917	2.455807547670972
152	103	30	0.6776315789473685	4701980	2.295820329717844	2.407876126165479
152	104	23	0.6842105263157895	4077431	2.029731705251945	2.377512717538766
152	105	25	0.6907894736842105	3547500	2.5358001583102436	2.3012151787654216
152	106	19	0.6973684210526315	3099651	2.205658252112979	2.2146745589961294
152	107	11	0.7039473684210527	2706974	1.4621974452308961	2.107103200649387
152	108	8	0.7105263157894737	2373536	1.2128066899822834	2.0834116642821767
152	109	8	0.7171052631578947	2091542	1.376324424617717	1.956397712638934
152	110	7	0.7236842105263158	1840180	1.3687847369548443	1.9499828854339833
152	111	8	0.7302631578947368	1627784	1.7684412303559864	1.9035108656506228
152	112	11	0.7368421052631579	1447656	2.7341650689849377	1.8464584198937541
152	113	7	0.743421052631579	1301284	1.9356345711232639	1.8166990680844737
152	114	10	0.75	1180237	3.048794796843546	1.6238918687775514
152	115	1	0.756578947368421	1075864	0.3344568109577266	1.537336931951325
152	116	2	0.7631578947368421	985686	0.7301108922399702	1.5147825358317373
152	117	2	0.7697368421052632	913229	0.7880390186124698	1.49956923101505
152	118	3	0.7763157894736842	845286	1.2770708699690647	1.49956923101505
152	119	1	0.7828947368421053	779464	0.4616377952852519	1.4850602525359533
